entropy,block_rep_8,block_rep_16,block_rep_32,skewness,kurtosis,chi2_stat,autocorrelation,compression_ratio,bigram_rep,label
7.588183728724238,0,0,0.0,-0.0337,-1.2484,271.03,0.0015,0.9796,0.0038,AES-128 (CBC)
7.168981936851555,0,0,0.0,0.084,-1.213,272.0,0.0117,0.9611,0.0,AES-128 (ECB)
7.22139331042011,0,0,0,-0.0665,-1.1989,234.0,-0.0541,0.9588,0.0,AES-128 (GCM)
7.140319531114784,0,0,0,-0.1372,-1.2158,256.0,0.0775,0.9588,0.0,AES-128 (CTR)
6.021928094887358,0,0,0.0,-0.0902,-1.2964,252.8,-0.1721,0.8791,0.0,AES-192 (CBC)
6.037492001110314,0,0,0.0,0.0806,-0.9944,252.8,0.0308,0.8791,0.0,AES-192 (ECB)
5.625,0,0,0,-0.1451,-1.163,288.0,-0.0391,0.8533,0.0,AES-192 (GCM)
7.624661879125077,0,0,0,-0.1036,-1.2375,241.0,0.0409,0.979,0.002,AES-192 (CTR)
5.996928094887359,0,0,0.0,0.0724,-1.1768,259.2,0.0214,0.8791,0.0,AES-256 (CBC)
6.146928094887357,0,0,0.0,-0.135,-1.0873,220.8,0.0834,0.8791,0.0,AES-256 (ECB)
5.663909765557392,0,0,0,-0.0492,-1.4518,288.0,0.1321,0.8533,0.0,AES-256 (GCM)
7.168230652316841,0,0,0,-0.0456,-1.3245,256.0,0.0798,0.9588,0.0039,AES-256 (CTR)
7.269052822693004,0,0,0.0,0.0502,-1.1261,226.82,-0.0596,0.9611,0.0037,AES-128 (CBC)
6.046928094887358,0,0,0.0,0.342,-1.194,246.4,-0.0929,0.8791,0.0,AES-128 (ECB)
6.42363720694674,0,0,0,-0.161,-1.0446,304.0,-0.0498,0.9209,0.0,AES-128 (GCM)
5.71875,0,0,0,0.1604,-1.1052,264.0,-0.0603,0.8533,0.0,AES-128 (CTR)
7.244218677464463,0,0,0.0,0.0046,-1.15,238.12,0.0058,0.9611,0.0037,AES-192 (CBC)
7.187436164824549,0,0,0.0,0.2149,-1.1406,266.35,-0.0482,0.9611,0.0,AES-192 (ECB)
6.380592089725436,0,0,0,-0.1183,-0.9213,304.0,0.0197,0.9209,0.0079,AES-192 (GCM)
7.101748035095538,0,0,0,-0.0739,-1.2393,278.0,-0.0739,0.9588,0.0039,AES-192 (CTR)
7.606583338326253,0,0,0.0,0.0425,-1.1602,238.06,0.0428,0.9796,0.0038,AES-256 (CBC)
6.721804688852181,0,0,0.0,-0.0667,-1.2738,247.11,0.0551,0.929,0.0,AES-256 (ECB)
6.535079882778696,0,0,0,-0.0001,-1.3165,260.0,0.0331,0.9209,0.0,AES-256 (GCM)
7.8329198397608595,0,0,0,0.0228,-1.1965,222.5,0.0106,0.9894,0.0078,AES-256 (CTR)
7.823439118608478,0,0,0.0,-0.0457,-1.1864,233.6,0.0027,0.9895,0.0048,AES-128 (CBC)
7.5998950041599285,0,0,0.0,-0.0581,-1.1654,240.0,0.028,0.9796,0.0,AES-128 (ECB)
7.124304431622167,0,0,0,0.0625,-1.2062,278.0,-0.0585,0.9588,0.0,AES-128 (GCM)
7.634711189726105,0,0,0,0.0649,-1.216,228.0,0.0304,0.979,0.0039,AES-128 (CTR)
6.701107119467833,0,0,0.0,0.221,-1.1354,236.44,0.0706,0.929,0.0,AES-192 (CBC)
7.816029713124113,0,0,0.0,-0.0063,-1.1579,251.82,-0.0525,0.9895,0.0058,AES-192 (ECB)
7.533776154268731,0,0,0,0.0061,-1.1366,286.0,-0.0404,0.979,0.0059,AES-192 (GCM)
5.831954882778696,0,0,0,0.0177,-1.2986,240.0,0.2246,0.8533,0.0,AES-192 (CTR)
6.1469280948873575,0,0,0.0,0.2406,-1.127,220.8,0.0693,0.8791,0.0,AES-256 (CBC)
7.610549962464117,0,0,0.0,0.1987,-1.2259,257.45,0.0384,0.9796,0.0057,AES-256 (ECB)
7.79221446236674,0,0,0,-0.0584,-1.2015,268.5,0.0406,0.9894,0.0039,AES-256 (GCM)
7.797011566032618,0,0,0,-0.0432,-1.1566,266.5,0.0113,0.9894,0.0059,AES-256 (CTR)
7.806581127352011,0,0,0.0,0.0272,-1.2469,251.82,-0.0017,0.9895,0.0087,AES-128 (CBC)
6.171928094887357,0,0,0.0,-0.131,-1.1416,214.4,0.2059,0.8791,0.0,AES-128 (ECB)
7.794714605931351,0,0,0,0.002,-1.2164,269.0,-0.0054,0.9894,0.0068,AES-128 (GCM)
7.568392347971807,0,0,0,-0.028,-1.2506,267.0,0.0252,0.979,0.0039,AES-128 (CTR)
7.554837333815565,0,0,0.0,0.0727,-1.0702,279.76,-0.0177,0.9796,0.0038,AES-192 (CBC)
7.624540155547282,0,0,0.0,0.0797,-1.2389,244.85,0.0037,0.9796,0.0038,AES-192 (ECB)
5.75,0,0,0,-0.0407,-1.1261,256.0,0.095,0.8533,0.0,AES-192 (GCM)
5.726409765557392,0,0,0,-0.1796,-1.0218,272.0,-0.0891,0.8533,0.0,AES-192 (CTR)
6.652360244407738,0,0,0.0,0.1181,-1.2938,257.78,0.0859,0.929,0.007,AES-256 (CBC)
6.690622570826674,0,0,0.0,-0.0042,-1.1856,250.67,0.0505,0.929,0.0,AES-256 (ECB)
6.576057324168044,0,0,0,-0.0148,-1.157,252.0,-0.018,0.9209,0.0079,AES-256 (GCM)
6.405944531114784,0,0,0,0.0583,-1.2921,300.0,-0.0208,0.9209,0.0079,AES-256 (CTR)
7.233261140731571,0,0,0.0,0.0652,-1.076,251.29,0.0055,0.9611,0.0,AES-128 (CBC)
7.82997374814603,0,0,0.0,0.015,-1.1374,236.55,0.0131,0.9895,0.0067,AES-128 (ECB)
5.78125,0,0,0,0.0354,-1.1801,248.0,0.0491,0.8533,0.0,AES-128 (GCM)
7.181787976484884,0,0,0,-0.0763,-1.2581,248.0,-0.0568,0.9588,0.0,AES-128 (CTR)
7.194789106001023,0,0,0.0,0.053,-1.1128,275.76,-0.0643,0.9611,0.0,AES-192 (CBC)
6.544653473544355,0,0,0.0,0.0048,-1.0695,296.89,-0.0666,0.929,0.007,AES-192 (ECB)
6.523284765557392,0,0,0,-0.1812,-1.316,268.0,-0.095,0.9209,0.0,AES-192 (GCM)
7.170688427641414,0,0,0,-0.1066,-1.1783,254.0,-0.043,0.9588,0.0,AES-192 (CTR)
7.23289398826793,0,0,0.0,-0.0245,-1.2421,253.18,-0.0062,0.9611,0.0,AES-256 (CBC)
7.33162469772482,0,0,0.0,-0.1523,-1.3017,213.65,0.0126,0.9611,0.0,AES-256 (ECB)
6.650352441389348,0,0,0,0.0007,-1.3919,220.0,-0.0942,0.9209,0.0,AES-256 (GCM)
7.803211127034985,0,0,0,-0.0195,-1.1735,257.0,0.0375,0.9894,0.0059,AES-256 (CTR)
6.687218230578945,0,0,0.0,0.2605,-0.9896,240.0,0.0943,0.929,0.007,AES-128 (CBC)
7.612670067537531,0,0,0.0,0.1056,-1.22,251.64,-0.0045,0.9796,0.0057,AES-128 (ECB)
5.75,0,0,0,0.1704,-1.439,256.0,-0.0718,0.8533,0.0,AES-128 (GCM)
7.612073066676103,0,0,0,-0.1152,-1.1706,241.0,0.0372,0.979,0.0039,AES-128 (CTR)
7.804594596484101,0,0,0.0,0.0145,-1.216,261.66,0.0316,0.9895,0.0067,AES-192 (CBC)
7.551471459812777,0,0,0.0,0.0586,-1.2673,283.64,-0.1002,0.9796,0.0095,AES-192 (ECB)
